Japanese,English
"""晩""","""night"""
"""夕""","""evening"""
"""将""","""General"""
"""林""","""Hayashi"""
"""鳥""","""bird"""
"""己""","""Her"""
"""件""","""subject"""
"""城""","""castle"""
"""血""","""blood"""
"""徳""","""Virtue"""
"""腹""","""stomach"""
"""組""","""set"""
"""満""","""Full"""
"""妙""","""Myo"""
"""昔""","""long ago"""
"""料""","""Fee"""
"""円""","""Circle"""
"""独""","""German"""
"""雲""","""cloud"""
"""沢""","""Sawa"""
"""雑""","""rough"""
"""許""","""Policy"""
"""窓""","""window"""
"""往""","""Gai"""
"""示""","""Show"""
"""逃""","""Escape"""
"""喜""","""Ki"""
"""官""","""Government"""
"""肉""","""meat"""
"""暮""","""Kogo"""
"""博""","""Expo"""
"""吹""","""Fuki"""
"""更""","""Far"""
"""困""","""Insurance"""
"""派""","""School"""
"""曲""","""song"""
"""傍""","""Side"""
"""縁""","""edge"""
"""橋""","""bridge"""
"""興""","""Ko"""
"""附""","""Attached"""
"""里""","""Sato"""
"""並""","""common"""
"""期""","""Period"""
"""米""","""Rice"""
"""毎""","""every"""
"""抜""","""Remove"""
"""岸""","""shore"""
"""吾""","""I"""
"""求""","""Request"""
"""労""","""Labor"""
"""薄""","""Thin"""
"""黙""","""Silent"""
"""劇""","""Drama"""
"""端""","""end"""
"""確""","""Certain"""
"""単""","""single"""
"""末""","""End"""
"""弟""","""Younger brother"""
"""具""","""Ingredients"""
"""絵""","""picture"""
"""裏""","""back"""
"""改""","""Kai"""
"""冷""","""cold"""
"""及""","""Out"""
"""訳""","""reason"""
"""飲""","""Drink"""
"""景""","""Kei"""
"""保""","""Her"""
"""途""","""How"""
"""院""","""House"""
"""辺""","""House"""
"""殿""","""Lord"""
"""抱""","""Hug"""
"""状""","""Shape"""
"""評""","""Rating"""
"""刻""","""Encourse"""
"""散""","""Scattered"""
"""仰""","""Ball"""
"""疑""","""Suspicion"""
"""痛""","""Pain"""
"""破""","""Break"""
"""構""","""Structure"""
