Japanese,English
"""人""","""people"""
"""一""","""one"""
"""見""","""You see"""
"""出""","""Out"""
"""日""","""Day"""
"""来""","""Come"""
"""大""","""Big"""
"""子""","""Child"""
"""思""","""Thought"""
"""行""","""line"""
"""時""","""Time"""
"""上""","""Up"""
"""分""","""Minutes"""
"""私""","""Me"""
"""中""","""During"""
"""事""","""case"""
"""何""","""what"""
"""二""","""two"""
"""自""","""Self"""
"""彼""","""he"""
"""方""","""direction"""
"""生""","""Raw"""
"""間""","""while"""
"""手""","""hand"""
"""言""","""Word"""
"""女""","""woman"""
"""本""","""Book"""
"""気""","""air"""
"""年""","""Year"""
"""三""","""three"""
"""者""","""person"""
"""十""","""Ten"""
"""前""","""Previous"""
"""家""","""House"""
"""心""","""heart"""
"""今""","""now"""
"""下""","""under"""
"""的""","""Target"""
"""物""","""object"""
"""立""","""Stand"""
"""小""","""small"""
"""文""","""Sentence"""
"""知""","""Knowledge"""
"""入""","""Enter"""
"""作""","""Work"""
"""月""","""Moon"""
"""書""","""book"""
"""学""","""Study"""
"""合""","""Match"""
"""山""","""Mountain"""
"""後""","""rear"""
"""目""","""eye"""
"""持""","""Make"""
"""居""","""Residence"""
"""無""","""Nothing"""
"""様""","""looks"""
"""意""","""Intention"""
"""地""","""Earth"""
"""御""","""Go"""
"""屋""","""Shop"""
"""度""","""Every time"""
"""同""","""same"""
"""不""","""Done"""
"""実""","""fruit"""
"""話""","""Talk"""
"""身""","""Body"""
"""所""","""Place"""
"""先""","""First"""
"""力""","""Power"""
"""五""","""5"""
"""明""","""Ming"""
"""代""","""Price"""
"""通""","""Touch"""
"""水""","""water"""
"""聞""","""Hearing"""
"""長""","""Long"""
"""少""","""Small"""
"""第""","""Dai"""
"""感""","""Feeling"""
"""世""","""world"""
"""空""","""Sky"""
"""四""","""four"""
"""理""","""Reason"""
"""田""","""Ta"""
"""主""","""main"""
"""名""","""Name"""
"""口""","""mouth"""
"""面""","""surface"""
"""場""","""Place"""
"""顔""","""face"""
"""君""","""you"""
"""成""","""Saiki"""
"""白""","""White"""
"""考""","""Thinking"""
"""道""","""road"""
"""正""","""Positive"""
"""郎""","""Jiro"""
"""当""","""This"""
"""男""","""Man"""
"""外""","""Out"""
"""国""","""Country"""
"""会""","""Meeting"""
"""取""","""Take"""
"""新""","""new"""
"""風""","""Wind"""
"""神""","""God"""
"""動""","""Movement"""
"""部""","""Department"""
"""向""","""Direction"""
"""夜""","""Night"""
"""内""","""Inside"""
"""青""","""Blue"""
"""相""","""phase"""
"""体""","""body"""
"""眼""","""eye"""
"""木""","""wood"""
"""味""","""taste"""
"""僕""","""I"""
"""多""","""Many"""
"""声""","""voice"""
"""現""","""Current"""
"""平""","""flat"""
"""葉""","""leaf"""
"""全""","""all"""
"""足""","""leg"""
"""切""","""Kiri"""
"""金""","""Money"""
"""近""","""Near"""
"""色""","""colour"""
"""発""","""Departure"""
"""母""","""mother"""
"""高""","""High"""
"""用""","""for"""
"""死""","""death"""
"""八""","""Eight"""
"""得""","""Great"""
"""頭""","""Head"""
"""次""","""Next"""
"""天""","""Heaven"""
"""夫""","""husband"""
"""真""","""true"""
"""其""","""That"""
"""父""","""father"""
"""親""","""parent"""
"""帰""","""Return"""
"""対""","""versus"""
"""美""","""Beauty"""
"""六""","""6"""
"""引""","""Draw"""
"""野""","""field"""
"""笑""","""smile"""
"""音""","""sound"""
"""表""","""table"""
"""等""","""etc"""
"""情""","""Passion"""
"""歩""","""Walking"""
"""馬""","""Horse"""
"""形""","""shape"""
"""太""","""Thick"""
"""川""","""river"""
"""落""","""Fall"""
"""性""","""sex"""
"""食""","""Food"""
"""此""","""This"""
"""七""","""Seven"""
"""有""","""Yes"""
"""仕""","""Cample"""
"""論""","""Theory"""
"""最""","""Best"""
"""記""","""Record"""
"""信""","""Trust"""
"""初""","""first time"""
"""問""","""Question"""
"""変""","""strange"""
"""直""","""straight"""
"""達""","""Tsu"""
"""法""","""Law"""
"""活""","""Active"""
"""込""","""Included"""
"""村""","""village"""
"""語""","""word"""
"""教""","""Teaching"""
"""着""","""Wear"""
"""社""","""Company"""
"""門""","""gate"""
"""士""","""Shito"""
"""別""","""another"""
"""光""","""light"""
"""好""","""Good"""
"""悪""","""evil"""
"""和""","""sum"""
"""重""","""Heavy"""
"""若""","""Young"""
"""花""","""flower"""
"""底""","""bottom"""
"""結""","""Knot"""
"""処""","""place"""
"""原""","""original"""
"""説""","""Theory"""
"""車""","""car"""
"""起""","""Counter"""
"""字""","""Character"""
"""流""","""Ryu"""
"""吉""","""Yoshi"""
"""点""","""point"""
"""他""","""other"""
"""想""","""Thought"""
"""校""","""school"""
"""義""","""Rice"""
"""愛""","""Love"""
"""百""","""hundred"""
"""我""","""I"""
"""化""","""Conversion"""
"""古""","""Old"""
"""置""","""Store"""
"""命""","""life"""
"""違""","""Difference"""
"""如""","""Like"""
"""朝""","""Morning"""
"""返""","""Return"""
"""関""","""Seki"""
"""数""","""number"""
"""氏""","""Mr"""
"""石""","""stone"""
"""早""","""Early"""
"""海""","""Sea"""
"""常""","""Normal"""
"""付""","""With"""
"""九""","""Nine"""
"""解""","""Solution"""
"""土""","""soil"""
"""戸""","""door"""
"""東""","""east"""
"""火""","""fire"""
"""之""","""this"""
"""要""","""Need"""
"""苦""","""Bitter"""
"""過""","""Over"""
"""定""","""Relere"""
"""町""","""town"""
"""安""","""Cheap"""
"""庫""","""Storage"""
"""助""","""Assistance"""
"""頃""","""When"""
"""民""","""people"""
"""半""","""half"""
"""又""","""or"""
"""集""","""collection"""
"""誰""","""Who"""
"""供""","""Offer"""
"""飛""","""Fly"""
"""申""","""Application"""
"""在""","""Resident"""
"""兵""","""Soldier"""
"""開""","""Open"""
"""草""","""grass"""
"""強""","""strength"""
"""紙""","""paper"""
"""深""","""Deep"""
"""待""","""Wait"""
"""機""","""Machine"""
"""決""","""Convention"""
"""遠""","""Distant"""
"""題""","""Title"""
"""楽""","""easy"""
"""利""","""Interest"""
"""張""","""Zhang"""
"""余""","""Other"""
"""皆""","""all"""
"""必""","""Necessary"""
"""歌""","""song"""
"""打""","""Hit"""
"""呼""","""Call"""
"""根""","""root"""
"""覚""","""War"""
"""老""","""Old"""
"""京""","""Kyoto"""
"""由""","""Yu"""
"""品""","""Product"""
"""治""","""Jia"""
"""調""","""Tone"""
"""姿""","""Appearance"""
"""読""","""Read"""
"""病""","""disease"""
"""種""","""seed"""
"""連""","""Communicating"""
"""戦""","""War"""
"""千""","""thousand"""
"""始""","""Beginning"""
"""念""","""Memories"""
"""室""","""Room"""
"""公""","""public"""
"""可""","""Possible"""
"""急""","""Sudden"""
"""島""","""island"""
"""左""","""left"""
"""右""","""right"""
"""黒""","""black"""
"""突""","""Push"""
"""界""","""World"""
"""術""","""Technical"""
"""來""","""Come"""
"""座""","""seat"""
"""受""","""Receive"""
"""船""","""ship"""
"""元""","""Original"""
"""観""","""View"""
"""業""","""Business"""
"""使""","""Use"""
"""西""","""West"""
"""経""","""Sutra"""
"""図""","""figure"""
"""進""","""Slow"""
"""残""","""Remaining"""
"""画""","""Painting"""
"""松""","""Pine"""
"""恐""","""Fear"""
"""赤""","""red"""
"""殺""","""Kill"""
"""式""","""formula"""
"""番""","""Number"""
"""師""","""Master"""
"""存""","""Real"""
"""伝""","""Den"""
"""運""","""luck"""
"""果""","""Fruit"""
"""娘""","""Daughter"""
"""識""","""Knowledge"""
"""寄""","""Convention"""
"""両""","""Both"""
"""或""","""A certain"""
"""横""","""beside"""
"""議""","""Control"""
"""軍""","""army"""
"""友""","""friend"""
"""非""","""Non -"""
"""反""","""Control"""
"""婦""","""Women"""
"""共""","""Both"""
"""寝""","""Sleep"""
"""酒""","""Liquor"""
"""失""","""Lost"""
"""武""","""Take"""
"""判""","""Squad"""
"""支""","""Support"""
"""加""","""Add"""
"""細""","""Fine"""
"""質""","""quality"""
"""特""","""Special"""
"""際""","""edge"""
"""路""","""Road"""
"""政""","""Political"""
"""告""","""Inspection"""
"""例""","""example"""
"""客""","""Customer"""
"""貴""","""You"""
"""雪""","""snow"""
"""万""","""Ten thousand"""
"""能""","""No"""
"""位""","""Position"""
"""暗""","""Dark"""
"""芸""","""Geisha"""
"""振""","""Shake"""
"""片""","""Kata"""
"""王""","""king"""
"""難""","""Difficult"""
"""井""","""well"""
"""台""","""Stand"""
"""去""","""Bow"""
"""乗""","""Ride"""
"""茶""","""tea"""
"""故""","""late"""
"""準""","""Society"""
"""宮""","""Miya"""
"""店""","""shop"""
"""終""","""End"""
"""息""","""breath"""
"""雨""","""rain"""
"""良""","""good"""
"""電""","""Den"""
"""勢""","""Her"""
"""衛""","""Eh"""
"""望""","""Hope"""
"""春""","""spring"""
"""指""","""finger"""
"""止""","""Stop"""
"""配""","""Distribution"""
"""役""","""Role"""
"""幸""","""Yuki"""
"""角""","""corner"""
"""階""","""Floor"""
"""首""","""neck"""
"""兄""","""Brother"""
"""影""","""Shadow"""
"""渡""","""Watari"""
"""於""","""in"""
"""夢""","""dreams"""
"""巻""","""roll"""
"""寺""","""temple"""
"""胸""","""chest"""
"""制""","""System"""
"""極""","""very"""
"""蔵""","""Warehouse"""
"""奥""","""Oku"""
"""都""","""Capital"""
"""工""","""Work"""
"""掛""","""Kake"""
"""段""","""Dan"""
"""態""","""Title"""
"""江""","""E"""
"""悲""","""Sad"""
"""限""","""Limit"""
"""消""","""Eraser"""
"""絶""","""Escape"""
"""幾""","""What"""
"""追""","""Up"""
"""勝""","""Win"""
"""離""","""Separation"""
"""精""","""Se"""
"""与""","""Your"""
"""守""","""Mamoru"""
"""藤""","""Fuji"""
